plant_category,nepali_name,english_name,scientific_name,primary_use,secondary_uses,iucn_status,cites_appendix,distribution,notes
Shrub,टिमुर,Szechuan Pepper,Zanthoxylum armatum,Spice,Medicinal,LC,Not listed,Hills,
Shrub,बोझो,Acacia shrub,Acacia rugata,Fuelwood,"Fodder, Hedge",LC,Not listed,Terai to hills,
Shrub,बनकाफोर,Wild Camphor,Cinnamomum glanduliferum,Aromatic,Medicinal,LC,Not listed,Hills,
Shrub,ऐंसेलु,Raspberry,Rubus ellipticus,Fruit,Medicinal,LC,Not listed,Hills,Edible berries
Shrub,केराउ,Wild Banana,Musa spp.,Fiber,"Fodder, Ornamental",LC,Not listed,Terai to hills,
Shrub,कुचुबुन्दी,Lantana,Lantana camara,Invasive,None,LC,Not listed,Terai to hills,Problematic invasive
Shrub,बन्किला,Castor,Ricinus communis,Oil,"Medicinal, Poisonous",LC,Not listed,Terai to hills,
Shrub,भ्याकुर मुल,Yam,Dioscorea bulbifera,Tuber,Medicinal,LC,Not listed,Terai to hills,
Shrub,धूपी,Juniper,Juniperus indica,Incense,Medicinal,LC,Not listed,High Himalayas,Sacred incense
Shrub,तिते पाती,Wormwood,Artemisia indica,Medicinal,Insect repellent,LC,Not listed,Hills,
Fern,उन्यू,Tree Fern,Cyathea spinulosa,Ornamental,Medicinal,VU,Appendix II,Mid to high hills,Endangered fern
Fern,निगुरो,Edible Fern,Diplazium esculentum,Vegetable,Fodder,LC,Not listed,Hills,Widely consumed
Fern,निगुरो (कालो),Black Fern,Dryopteris cochleata,Medicinal,Ornamental,LC,Not listed,Hills,
Fern,ढेकिया,Bracken Fern,Pteridium aquilinum,Vegetable,"Fodder, Bedding",LC,Not listed,Hills,Edible shoots
Fern,पानी निगुरो,Water Fern,Azolla spp.,Biofertilizer,Fodder,LC,Not listed,Wetlands,Nitrogen-fixing
Fern,राज निगुरो,Royal Fern,Osmunda regalis,Ornamental,Medicinal,LC,Not listed,Wetlands,
Fern,सिस्नो निगुरो,Maiden Hair Fern,Adiantum spp.,Ornamental,Medicinal,LC,Not listed,Moist areas,
Fern,लहरे उन्यू,Climbing Fern,Lygodium japonicum,Ornamental,Medicinal,LC,Not listed,Hills,
Fern,पत्थरे निगुरो,Rock Fern,Cheilanthes spp.,Ornamental,None,LC,Not listed,Rocky areas,
Fern,सुनौलो निगुरो,Golden Fern,Pityrogramma calomelanos,Ornamental,Medicinal,LC,Not listed,Hills,
Orchid,सुनाखरी,Golden Orchid,Coelogyne cristata,Ornamental,Medicinal,VU,Appendix II,Mid to high hills,All orchids CITES II
Orchid,पञ्चौले अर्किड,Lady's Slipper,Paphiopedilum spp.,Ornamental,Highly threatened,EN,Appendix I,Eastern hills,Critically threatened
Orchid,जीउनाबैगामा,Jewel Orchid,Anoectochilus spp.,Medicinal,Ornamental,VU,Appendix II,Hills,
Orchid,बोकेफुल,Dendrobium,Dendrobium nobile,Ornamental,Medicinal,NT,Appendix II,Hills,Common epiphytic
Orchid,सुनौलो बोके,Yellow Dendrobium,Dendrobium chrysanthum,Ornamental,Medicinal,NT,Appendix II,Mid-hills,
Orchid,सुगन्धित अर्किड,Fragrant Orchid,Cymbidium spp.,Ornamental,Medicinal,VU,Appendix II,Hills,
Orchid,लेमुभा,Ground Orchid,Calanthe triplicata,Ornamental,Medicinal,LC,Appendix II,Forests,
Orchid,बैजनाथी,Blue Vanda,Vanda coerulea,Ornamental,Highly valued,EN,Appendix I,Eastern Nepal,State flower of Sikkim
Orchid,रातो अर्किड,Red Orchid,Renanthera imschootiana,Ornamental,Rare,VU,Appendix II,Eastern hills,
Orchid,घण्टे अर्किड,Bell Orchid,Bulbophyllum spp.,Ornamental,Small flowers,LC,Appendix II,Forests,
Orchid,माटो अर्किड,Terrestrial Orchid,Habenaria spp.,Ornamental,Medicinal,LC,Appendix II,Grasslands,
Orchid,चामर अर्किड,Fan Orchid,Oberonia spp.,Ornamental,Minute,LC,Appendix II,Epiphytic,
Orchid,फुले बोके,Flowering Dendrobium,Dendrobium densiflorum,Ornamental,Clusters,NT,Appendix II,Hills,
Orchid,पातले अर्किड,Leafy Orchid,Liparis spp.,Ornamental,Common,LC,Appendix II,Moist forests,
Orchid,सुनखरी डोले,Pleione,Pleione humilis,Ornamental,Medicinal,VU,Appendix II,High hills,
Grass,कुशे घाँस,Imperata Grass,Imperata cylindrica,Thatching,"Fodder, Erosion control",LC,Not listed,Terai to hills,
Grass,खर,Elephant Grass,Miscanthus spp.,Thatching,Paper pulp,LC,Not listed,Terai,Tall grass
Grass,बाबियो,Eulaliopsis Grass,Eulaliopsis binata,Thatching,Rope,LC,Not listed,Hills,
Grass,कनस,Saccharum Grass,Saccharum spontaneum,Thatching,"Paper, Erosion control",LC,Not listed,River banks,
Grass,नरकट,Reed Grass,Phragmites karka,Thatching,"Mat, Construction",LC,Not listed,Wetlands,
Grass,सिरु,Vetiver Grass,Chrysopogon zizanioides,Erosion control,"Aromatic oil, Medicinal",LC,Not listed,Hills,Soil conservation
Grass,दूबो घाँस,Bermuda Grass,Cynodon dactylon,Fodder,"Lawn, Medicinal",LC,Not listed,Lowlands,Sacred grass
Grass,कोदो,Kodo Millet,Paspalum scrobiculatum,Grain,Fodder,LC,Not listed,Hills,Traditional crop
Grass,कागुनो,Barnyard Millet,Echinochloa frumentacea,Grain,Fodder,LC,Not listed,Hills,
Grass,छ्यांग,Panicum Grass,Panicum spp.,Fodder,Grain,LC,Not listed,Hills,
Grass,मकै,Maize grass,Zea mays,Grain,"Fodder, Food",LC,Not listed,Terai to hills,Major crop
Grass,गहूँ,Wheat grass,Triticum aestivum,Grain,Food,LC,Not listed,Terai to hills,
Grass,धान,Rice grass,Oryza sativa,Grain,Food,LC,Not listed,Terai to hills,Staple crop
Grass,डडुवा,Naked Barley,Hordeum vulgare,Grain,Fodder,LC,Not listed,High hills,
Grass,फापर,Buckwheat,Fagopyrum esculentum,Grain,Food,LC,Not listed,Hills,
Sedge,मोथा,Nutgrass,Cyperus rotundus,Medicinal,Weed,LC,Not listed,Everywhere,Common sedge
Sedge,नागरमोथा,Cyperus,Cyperus scariosus,Medicinal,Aromatic,LC,Not listed,Wetlands,
Sedge,पाती घाँस,Carex,Carex spp.,Fodder,Mat making,LC,Not listed,Wetlands,
Sedge,कोइराला,Scirpus,Scirpus spp.,Mat making,Wetland plant,LC,Not listed,Marshes,
Medicinal Herb,यार्सागुम्बा,Caterpillar Fungus,Ophiocordyceps sinensis,Medicinal,High value trade,VU,Not listed,High Himalayas,Critically valuable
Medicinal Herb,पञ्चौले,Dactylorhiza,Dactylorhiza hatagirea,Medicinal,Highly threatened,CR,Appendix II,Alpine meadows,Critically endangered
Medicinal Herb,अतिस,Aconite,Aconitum heterophyllum,Medicinal,Toxic alkaloids,EN,Not listed,High Himalayas,
Medicinal Herb,चिरायतो,Chirayito,Swertia chirayita,Medicinal,Bitter tonic,VU,Not listed,Mid-hills,Over-exploited
Medicinal Herb,जटामासी,Spikenard,Nardostachys jatamansi,Medicinal,Aromatic oil,CR,Not listed,Alpine,Critically endangered
Medicinal Herb,बिष,Aconitum,Aconitum spicatum,Medicinal,"Poison, Medicinal",VU,Not listed,High hills,Toxic
Medicinal Herb,बनकुरीलो,Asparagus,Asparagus racemosus,Medicinal,Tonic,LC,Not listed,Terai to hills,
Medicinal Herb,गुड्पुच्छी,Tinospora,Tinospora sinensis,Medicinal,Immunomodulator,LC,Not listed,Hills,
Medicinal Herb,तुलसी,Holy Basil,Ocimum sanctum,Medicinal,Sacred,LC,Not listed,Terai to hills,
Medicinal Herb,अदुवा,Ginger,Zingiber officinale,Spice,Medicinal,LC,Not listed,Hills,
Medicinal Herb,बेसार,Turmeric,Curcuma longa,Spice,Medicinal,LC,Not listed,Terai to hills,
Medicinal Herb,खुर्सानी,Chili,Capsicum annuum,Spice,Vegetable,LC,Not listed,Everywhere,
Medicinal Herb,लसुन,Garlic,Allium sativum,Spice,Medicinal,LC,Not listed,Hills,
Medicinal Herb,प्याज,Onion,Allium cepa,Vegetable,Spice,LC,Not listed,Terai to hills,
Medicinal Herb,जिम्बु,Jimbu,Allium wallichii,Spice,Aromatic,VU,Not listed,High hills,Over-collected
Medicinal Herb,बनकुसुम,Safflower,Carthamus tinctorius,Oil,Dye,LC,Not listed,Hills,
Medicinal Herb,केसर,Saffron,Crocus sativus,Spice,Most expensive spice,VU,Not listed,High hills (cultivated),
Medicinal Herb,सतुवा,Paris,Paris polyphylla,Medicinal,High value,EN,Not listed,Mid to high hills,
Medicinal Herb,कुटकी,Picrorhiza,Picrorhiza kurroa,Medicinal,Hepatoprotective,EN,Not listed,Alpine,Endangered
Medicinal Herb,सुगन्धकोकिला,Valeriana,Valeriana jatamansi,Medicinal,Sedative,VU,Not listed,Alpine,
Medicinal Herb,धुपी,Juniper,Juniperus recurva,Incense,Medicinal,LC,Not listed,High Himalayas,
Medicinal Herb,भोजपत्र,Himalayan Birch,Betula utilis,Bark paper,Medicinal,LC,Not listed,High Himalayas,Sacred bark
Medicinal Herb,लोध,Lodh,Symplocos racemosa,Dye,Medicinal,LC,Not listed,Hills,
Medicinal Herb,इन्द्रजौ,Kutki,Holarrhena antidysenterica,Medicinal,Antidiarrheal,VU,Not listed,Terai to hills,
Climber,तितेलौकी,Bitter Gourd,Momordica charantia,Vegetable,Medicinal,LC,Not listed,Terai to hills,
Climber,घीरौला,Sponge Gourd,Luffa cylindrica,Vegetable,Sponge,LC,Not listed,Terai,
Climber,लौका,Bottle Gourd,Lagenaria siceraria,Vegetable,Utensils,LC,Not listed,Terai to hills,
Climber,फर्सी,Pumpkin,Cucurbita moschata,Vegetable,Food,LC,Not listed,Terai to hills,
Climber,लहरा तरूल,Yam,Dioscorea alata,Tuber,Food,LC,Not listed,Hills,
Climber,गुड्पुच्छी,Guduchi,Tinospora cordifolia,Medicinal,Immunostimulant,LC,Not listed,Terai to hills,
Climber,काली लहरा,Black Yam,Dioscorea bulbifera,Tuber,Medicinal,LC,Not listed,Forests,
Climber,बोडी,Beans,Vigna spp.,Vegetable,Protein,LC,Not listed,Everywhere,
Climber,केराउँ,Banana,Musa spp.,Fruit,"Fiber, Vegetable",LC,Not listed,Terai to hills,
Climber,गहत,Horsegram,Macrotyloma uniflorum,Pulse,Fodder,LC,Not listed,Hills,
Aquatic,कमल,Lotus,Nelumbo nucifera,Sacred,"Vegetable, Medicinal",LC,Not listed,Wetlands,National flower candidate
Aquatic,पदम,Water Lily,Nymphaea spp.,Ornamental,Medicinal,LC,Not listed,Ponds,
Aquatic,सिंघाडा,Water Chestnut,Trapa natans,Vegetable,Food,LC,Not listed,Wetlands,
Aquatic,कचु,Taro,Colocasia esculenta,Vegetable,Food,LC,Not listed,Wetlands,
Aquatic,पानीफूल,Water Hyacinth,Eichhornia crassipes,Invasive,Problematic weed,LC,Not listed,Water bodies,Invasive - clogs waterways
Invasive Plant,बनमारा (मिकानिया),Mile-a-minute Weed,Mikania micrantha,Invasive,None,LC,Not listed,Terai to mid-hills,Highly aggressive climber - smothers native vegetation
Invasive Plant,बनमारा (क्रोमोलेना),Siam Weed,Chromolaena odorata,Invasive,None,LC,Not listed,Terai,Fast-growing shrub - forms dense thickets
Invasive Plant,बनमारा (एजेरेटिना),Crofton Weed,Ageratina adenophora,Invasive,None,LC,Not listed,Mid-hills,Toxic to livestock - displaces native plants
Invasive Plant,कुचुबुन्दी,Lantana,Lantana camara,Invasive,None,LC,Not listed,Terai to mid-hills,Allelopathic - prevents other plant growth
Invasive Plant,गजरघाँस,Parthenium,Parthenium hysterophorus,Invasive,Allergen,LC,Not listed,Terai to hills,Causes severe allergies - toxic to animals
Invasive Plant,बेशरम,Bush Morning Glory,Ipomoea carnea,Invasive,Toxic,LC,Not listed,Terai,Toxic to cattle - invades grazing lands
Invasive Plant,गाँधे,Goatweed,Ageratum conyzoides,Invasive,Medicinal (minor),LC,Not listed,Everywhere,Common weed - aggressive spreader
Invasive Plant,तपरे,Sickle Pod,Cassia tora,Invasive,Medicinal (seeds),LC,Not listed,Terai to hills,Competes with crops
Invasive Plant,गाँधे लहरा,Wild Spikenard,Hyptis suaveolens,Invasive,None,LC,Not listed,Terai,Strong odor - invades pastures
Invasive Plant,भेडे कुरो,Cocklebur,Xanthium strumarium,Invasive,Toxic,LC,Not listed,Terai to hills,Toxic to livestock - spiny seeds
Invasive Plant,युफोर्बिया,Poinsettia,Euphorbia pulcherrima,Invasive,Ornamental,LC,Not listed,Urban areas,Escaped cultivation
Invasive Plant,सल्यानो काँडा,Prickly Pear,Opuntia stricta,Invasive,Edible fruit,LC,Not listed,Dry areas,Forms impenetrable thickets
Invasive Plant,चिचिण्डो काँडा,Cactus,Opuntia dillenii,Invasive,Hedge,LC,Not listed,Terai,Spiny invasive
Invasive Plant,अमेरिकन खजुर,Alligator Weed,Alternanthera philoxeroides,Invasive,None,LC,Not listed,Wetlands,Aquatic/terrestrial invader
Invasive Plant,काली तोरी,Black Mustard,Brassica nigra,Invasive,Edible,LC,Not listed,Farmlands,Agricultural weed
Invasive Plant,जंगली सूर्यमुखी,Sunflower,Tithonia diversifolia,Invasive,Green manure,LC,Not listed,Roadsides,Fast spreading shrub
Invasive Plant,रातो जरा,Red-stem,Ambrosia artemisiifolia,Invasive,Allergen,LC,Not listed,Fields,Causes hay fever
Invasive Plant,बन स्याउ,Thorn Apple,Datura stramonium,Invasive,Toxic/Medicinal,LC,Not listed,Disturbed areas,Highly toxic - hallucinogenic
Invasive Plant,बिलायती इमली,Mesquite,Prosopis juliflora,Invasive,Fuelwood,LC,Not listed,Terai (western),Thorny - degrades grasslands
Invasive Plant,चिउरी पत्ती,Congress Grass,Chromolaena odorata,Invasive,None,LC,Not listed,Terai,Same as Siam weed
Invasive Plant,जलकुम्भी,Water Lettuce,Pistia stratiotes,Invasive,None,LC,Not listed,Slow water,Aquatic - blocks sunlight
Invasive Plant,साल्भिनिया,Salvinia,Salvinia molesta,Invasive,None,LC,Not listed,Ponds,Aquatic fern - doubles every 2-3 days
Invasive Plant,भुइँ कमल,Water Pennywort,Hydrocotyle umbellata,Invasive,Medicinal,LC,Not listed,Wetlands,Spreads rapidly
Invasive Plant,गाँजा,Cannabis,Cannabis sativa,Invasive,Medicinal/Drug,LC,Not listed,Terai to hills,Wild populations - Schedule I drug in Nepal
Invasive Plant,भाँग,Hemp,Cannabis indica,Invasive,Drug/Fiber,LC,Not listed,Hills,Narcotic plant - controlled substance
Invasive Plant,कुडो,Kudzu,Pueraria montana,Invasive,Fodder,LC,Not listed,Eastern Nepal,Extremely fast-growing vine
Invasive Plant,यूकेलिप्टस,Eucalyptus,Eucalyptus globulus,Invasive,Timber/Oil,LC,Not listed,Plantations,Allelopathic - dries soil
Invasive Plant,पोप्लर,Poplar,Populus deltoides,Invasive,Timber,LC,Not listed,Riverbanks,Displaces native riparian species
Invasive Plant,चाइनिज गोभी,Chinese Cabbage Mustard,Brassica juncea,Invasive,Vegetable,LC,Not listed,Agricultural areas,Escaped cultivation
