scientific_name,local_name,is_tree_species,main_uses,family
Aegle marmelos,Bael,f,"SACRED (Hindu - offerings to Lord Shiva! Mentioned in Rig Veda!), MEDICINAL (Ayurveda 5000 years - diarrhea, dysentery, antibacterial, antiviral, antidiabetic, cardioprotective)",Rutaceae
Bambusa balcooa,Bans,f,"CONSTRUCTION (excellent strength), water pipes (split culms), furniture, edible shoots",Poaceae
Bambusa tulda,Tama,f,"CONSTRUCTION (scaffolding, building), mat weaving, furniture, paper pulp, edible shoots",Poaceae
Berberis aristata,Chutro,f,"AYURVEDIC (berberine - antibacterial!), eye, skin, diabetes treatment",Berberidaceae
Boehmeria rugulosa,Githi,f,"FIBER (strong bark fiber for ropes, paper), traditional textiles, riparian stabilization",Urticaceae
Cinnamomum glaucescens,Sugandha Kokila,f,"ESSENTIAL OIL from fruit (""gift to perfumers""!), Ayurvedic tonic (digestive + CNS)",Lauraceae
Cinnamomum tamala,Tejpat,f,"SPICE (leaves - aromatic, used in cooking), ESSENTIAL OIL (commercial), medicinal (bark, leaves)",Lauraceae
Coriaria nepalensis,Masuri Berry,f,"POISONOUS FRUITS (fish poison!), MEDICINAL (numbness, toothache, neurological disorders), TANNING/DYE, CAUTION: seeds poisonous (tutin)!",Coriariaceae
Cornus capitata,Himalayan Strawberry Tree,f,"EDIBLE FRUIT (strawberry-like, sweet/bitter), nutrient-dense, antimicrobial, antioxidant",Cornaceae
Corylus ferox,Bhotekatus,f,"EDIBLE NUTS (raw/cooked, tastes like filbert!), EDIBLE OIL from seed, underutilized indigenous fruit crop",Betulaceae
Cotoneaster microphyllus,Cotoneaster,f,"Living fences, medicinal, ornamental (ground cover)",Rosaceae
Dactylorhiza hatagirea,Panchaule,f,"MEDICINAL (tonic, pyorrhea), CITES Appendix II, strictly protected in Nepal, OVERHARVESTED",Orchidaceae
Daphne bholua,Lokta,f,"TRADITIONAL PAPER (1000+ years! - sacred texts, documents), fragrant flowers, ALL PARTS POISONOUS (but bark medicinal)",Thymelaeaceae
Dendrocalamus hamiltonii,Tama Bans,f,"CONSTRUCTION (houses, bridges - largest bamboo!), furniture, edible shoots (large, tasty)",Poaceae
Dendrocalamus strictus,Bans,f,"CONSTRUCTION (solid culms - unique!), furniture, tool handles, paper pulp",Poaceae
Elaeagnus parvifolia,Guyelo,f,"NITROGEN-FIXER (Frankia nodules!), edible fruit, soil reclamation",Elaeagnaceae
Euonymus spp.,Euonymus,f,"MEDICINAL (traditional Asian 2000+ years - rheumatism, wounds, pain, hepatoprotective, antitumor, antioxidant, antidiabetic), CAUTION: many species poisonous!",Celastraceae
Ficus auriculata,Timilo,f,"EDIBLE FRUIT (sweet, dark red!), MEDICINAL (leaves on wounds, figs for diarrhea/dysentery, root latex for mumps/cholera)",Moraceae
Ficus benghalensis,Bar,f,Sacred tree and shade,Moraceae
Ficus religiosa,Peepal,f,Sacred tree and shade,Moraceae
Helicia spp.,Helicia,f,"Ornamental (flowers), wildlife habitat, rare family representation (Proteaceae)",Proteaceae
Hippophae salicifolia,Dale Chuk,f,"SUPER FRUIT (15x Vitamin C of oranges!), juice, medicine, NITROGEN-FIXING, soil conservation, cosmetics",Elaeagnaceae
Lindera neesiana,Sil Timur,f,"Medicinal (fruit chewed - diarrhea, toothache, gastric), antimicrobial essential oil",Lauraceae
Litsea cubeba,May Chang,f,"ESSENTIAL OIL (lemon aroma - industrial crop!), anticancer, antimicrobial, antioxidant",Lauraceae
Lonicera spp.,Honeysuckle,f,"MEDICINAL (Chinese + folk medicine - respiratory infections, colds, flu, pneumonia, digestive disorders), EDIBLE flowers (sweet nectar!)",Caprifoliaceae
Macaranga spp.,Macaranga,f,"PIONEER RESTORATION (rapid colonizer), nurse tree for succession, wildlife food",Euphorbiaceae
Magnolia campbellii,Champ,f,"ORNAMENTAL (spectacular white flowers in Nepal!), 25-30 years to sexual maturity, declined from logging",Magnoliaceae
Malus sikkimensis,Syau,f,"EDIBLE FRUIT (crab apple - small tart apples), rootstock for apple grafting, ornamental (spring flowers), wildlife food",Rosaceae
Melocanna baccifera,Muli Bans,f,"Mat weaving, basketry, thatching, unique berry-like fruit (edible)",Poaceae
Morus spp.,Kimbu,f,"EDIBLE FRUIT (sweet-sour, cooling, increases blood and iron!), SERICULTURE (silkworm feed!), MEDICINAL (liver/lung, regulate menstruation)",Moraceae
Myrica esculenta,Kafal,f,"EDIBLE FRUIT (bayberry!), MEDICINAL (11 activities: analgesic, anxiolytic, antiallergic, antidiabetic, antimicrobial, antihypertensive, antiulcer, antioxidant, anti-inflammatory!)",Myricaceae
Nardostachys jatamansi,Jatamansi,f,"AROMATIC rhizomes (perfume, medicine), used in 6 countries traditional medicine, OVERHARVESTED",Caprifoliaceae
Neopicrorhiza scrophulariiflora,Kutki,f,"MEDICINAL (45 Ayurvedic medicines in Nepal!), 23 herbal industries, government priority species",Plantaginaceae
Oroxylum indicum,Totola,f,"MEDICINAL (bark, fruits - Ayurvedic formulations), young fruits (vegetable), seeds (edible)",Bignoniaceae
Osmanthus fragrans,Shephalika,f,"FRAGRANT FLOWERS (perfume, tea flavoring - extremely sweet scent!), ornamental, traditional medicine",Oleaceae
Osmanthus suavis,Sweet Osmanthus,f,"ORNAMENTAL (fragrant flowers!), hedges, prized for floral fragrance",Oleaceae
Paris polyphylla,Satuwa,f,"MEDICINAL (""from cut to cancer""), unsustainable harvesting threat",Melanthiaceae
Potentilla fruticosa,Potentilla,f,"Tea substitute, traditional medicine, ornamental",Rosaceae
Prunus cerasoides,Paiyun,f,"MEDICINAL (Ayurvedic, TCM, TTM - fever, cough, cold, dysentery), boon to hill beekeepers (nectar source!)",Rosaceae
Pyracantha crenulata,Ghangaru,f,"EDIBLE berries (orange-red, nutritious!), MEDICINAL (antiageing, antioxidant, antimicrobial, anti-inflammatory), helps heart failure!",Rosaceae
Rhododendron campanulatum,Chimal,f,"MEDICINAL (antibacterial!), ornamental flowers, Annapurna Circuit favorite",Ericaceae
Rhododendron lepidotum,Sunpati,f,"MEDICINAL (blood purification, cold treatment), INCENSE (Buddhist monasteries!), antibacterial = streptomycin!",Ericaceae
Rosa sericea,Rosa,f,"ORNAMENTAL (ONLY rose with 4 petals!), medicinal (headaches, liver), edible hips",Rosaceae
Rubus ellipticus,Aiselu,f,"EDIBLE FRUIT (golden yellow sweet raspberry!), Aiselu Wine Nepal project, nutraceutical potential",Rosaceae
Rubus niveus,Mysore Raspberry,f,"EDIBLE FRUIT (sweet, black when ripe), cultivated, nutritious",Rosaceae
Salix lindleyana,Nepal Willow,f,"Erosion control, alpine ground cover (MAT-FORMING - only 5cm high!), covers rocky screes",Salicaceae
Sapium insigne,Khirro,f,"POISONOUS LATEX (fish poison!), MEDICINAL (bark juice for wounds - kill germs!), PEST CONTROL, CAUTION: latex vesicant (skin irritant)!",Euphorbiaceae
Sorbus cuspidata,Cheuli,f,"EDIBLE FRUIT (wild), ornamental (flowers, fruits), traditional food",Rosaceae
Swertia chirayita,Chiraito,f,"MEDICINAL (bitter tonic - fever, malaria, digestive), export product (dried whole plant)",Gentianaceae
Taxus wallichiana,"Lauth Salla, Dhengre Salla",f,"MEDICINAL (Taxol for cancer treatment), religious/cultural",Taxaceae
Valeriana jatamansi,Sugandhawal,f,"SEDATIVE (most acceptable in modern medicine!), valepotriates in roots, OVERHARVESTED",Caprifoliaceae
Viburnum spp.,Viburnum,f,"EDIBLE BERRIES (wild), medicinal (stomach, fever, bronchitis, diabetes), seed oil for itchy skin",Adoxaceae
Zanthoxylum armatum,Timur,f,"SPICE (Sichuan pepper - citrusy, numbing!), medicinal (toothache, diabetes, hypertension)",Rutaceae
Ziziphus mauritiana,Bayer,f,"EDIBLE FRUIT (Vitamin C - 2nd only to guava!), dried like dates, pickled, MEDICINAL (anti-cancer, anti-aging, anti-diabetic)",Rhamnaceae
